127.0.0.1 - - [08/Mar/2021:21:42:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Mar/2021:21:42:46 +0530] "GET /TweetApplication/ForgotLink.jsp HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [08/Mar/2021:21:42:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Mar/2021:21:43:11 +0530] "GET /TweetApplication/ForgotLink.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [08/Mar/2021:21:43:12 +0530] "GET /TweetApplication/ForgotLink.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [08/Mar/2021:21:43:23 +0530] "GET /TweetApplication/ForgotLink.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [08/Mar/2021:21:43:24 +0530] "GET /TweetApplication/ForgotLink.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [08/Mar/2021:21:43:24 +0530] "GET /TweetApplication/ForgotLink.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [08/Mar/2021:21:45:31 +0530] "GET /TweetApplication/ForgotLink.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [08/Mar/2021:21:45:31 +0530] "GET /TweetApplication/ForgotLink.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [08/Mar/2021:21:45:32 +0530] "GET /TweetApplication/ForgotLink.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [08/Mar/2021:21:45:32 +0530] "GET /TweetApplication/ForgotLink.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [08/Mar/2021:21:45:36 +0530] "POST /TweetApplication/ForgotLink HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [08/Mar/2021:21:46:03 +0530] "POST /TweetApplication/ForgotLink HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:04:47 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1609
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:04:47 +0530] "GET /TweetApplication/Style.css HTTP/1.1" 200 3191
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:04:47 +0530] "GET /TweetApplication/images/logo.png HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:04:47 +0530] "GET /TweetApplication/images/social.png HTTP/1.1" 200 529550
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:05:26 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 1609
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:09:43 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:09:44 +0530] "GET /TweetApplication/images/reg.png HTTP/1.1" 200 85960
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:09:48 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:09:52 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:10:03 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:10:04 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 2108
0:0:0:0:0:0:0:1 - - [08/Mar/2021:22:10:05 +0530] "GET /TweetApplication/Home.jsp HTTP/1.1" 200 2108
